timestamp,action,token_id,fee0,fee1,pnl0,pnl1,cum_fee0,cum_fee1,cum_pnl0,cum_pnl1,price_non_usdc,price_reward_token,fee_usd,pnl_usd,cum_fee_usd,cum_pnl_usd,reward,reward_usd,cum_reward,cum_reward_usd,earning_profit_usd,total_profit_usd,cum_earning_profit_usd,cum_total_profit_usd,inpos0,inpos1,inpos_usd
2025-09-10T13:50:09+00:00,burn,25173740,0,0,824.215772,-0.00723887,28.323522,0.00024552,3030.116819,-0.02691845,114057.17,1.01248,0,-1.43,56.33,-40.13,0,0,0,0,0,-1.43,56.33,16.2,0,0,0
2025-09-10T13:50:09+00:00,collect,25173740,0.702735,0.00000365,0,0,29.026257,0.00024917,3030.116819,-0.02691845,114057.17,1.01248,1.12,0,57.45,-40.13,0,0,0,0,1.12,1.12,57.45,17.32,0,0,0
2025-09-10T13:50:31+00:00,mint,25176585,0,0,0,0,29.026257,0.00024917,3030.116819,-0.02691845,114057.17,1.01248,0,0,57.45,-40.13,0,0,0,0,0,0,57.45,17.32,1079.300533,0.00725851,1907.19
2025-09-11T22:50:09+00:00,burn,25176585,0,0,832.883553,-0.00725851,29.026257,0.00024917,3863.000372,-0.03417696,114057.17,1.01248,0,5,57.45,-35.13,0,0,0,0,0,5,57.45,22.32,0,0,0
2025-09-11T22:50:09+00:00,collect,25176585,7.1246,0.00005994,0,0,36.150857,0.00030911,3863.000372,-0.03417696,114057.17,1.01248,13.96,0,71.41,-35.13,0,0,0,0,13.96,13.96,71.41,36.28,0,0,0
2025-09-11T22:50:29+00:00,mint,25313808,0,0,0,0,36.150857,0.00030911,3863.000372,-0.03417696,114057.17,1.01248,0,0,71.41,-35.13,0,0,0,0,0,0,71.41,36.28,1045.930721,0.0082758,1989.85
2025-09-12T18:40:09+00:00,burn,25313808,0,0,958.74645,-0.0082758,36.150857,0.00030911,4821.746822,-0.04245276,114057.17,1.01248,0,14.83,71.41,-20.29,0,0,0,0,0,14.83,71.41,51.11,0,0,0
2025-09-12T18:40:09+00:00,collect,25313808,3.756302,0.00003008,0,0,39.907159,0.00033919,4821.746822,-0.04245276,114057.17,1.01248,7.19,0,78.59,-20.29,0,0,0,0,7.19,7.19,78.59,58.3,0,0,0
2025-09-12T18:40:29+00:00,mint,25408683,0,0,0,0,39.907159,0.00033919,4821.746822,-0.04245276,114057.17,1.01248,0,0,78.59,-20.29,0,0,0,0,0,0,78.59,58.3,1107.01992,0.00766215,1980.94
2025-09-15T00:10:07+00:00,burn,25408683,0,0,-1107.01992,0.00955273,39.907159,0.00033919,3714.726902,-0.03290003,114057.17,1.01248,0,-17.46,78.59,-37.76,0,0,0,0,0,-17.46,78.59,40.84,0,0,0
2025-09-15T00:10:07+00:00,collect,25408683,4.299249,0.00003935,0,0,44.206408,0.00037854,3714.726902,-0.03290003,114057.17,1.01248,8.79,0,87.38,-37.76,0,0,0,0,8.79,8.79,87.38,49.62,0,0,0
2025-09-15T00:10:25+00:00,mint,25621493,0,0,0,0,44.206408,0.00037854,3714.726902,-0.03290003,114057.17,1.01248,0,0,87.38,-37.76,0,0,0,0,0,0,87.38,49.62,809.939398,0.00929171,1869.73
2025-09-15T05:40:09+00:00,burn,25621493,0,0,1075.448382,-0.00929171,44.206408,0.00037854,4790.175284,-0.04219174,114057.17,1.01248,0,15.66,87.38,-22.1,0,0,0,0,0,15.66,87.38,65.29,0,0,0
2025-09-15T05:40:09+00:00,collect,25621493,1.056508,0.00000596,0,0,45.262916,0.0003845,4790.175284,-0.04219174,114057.17,1.01248,1.74,0,89.12,-22.1,0,0,0,0,1.74,1.74,89.12,67.02,0,0,0
2025-09-15T05:40:29+00:00,mint,25646454,0,0,0,0,45.262916,0.0003845,4790.175284,-0.04219174,114057.17,1.01248,0,0,89.12,-22.1,0,0,0,0,0,0,89.12,67.02,1006.800481,0.00853196,1979.93
2025-09-15T08:50:09+00:00,burn,25646454,0,0,-1006.800481,0.00869228,45.262916,0.0003845,3783.374803,-0.03349946,114057.17,1.01248,0,-15.38,89.12,-37.48,0,0,0,0,0,-15.38,89.12,51.64,0,0,0
2025-09-15T08:50:09+00:00,collect,25646454,0.589407,0.00000785,0,0,45.852323,0.00039235,3783.374803,-0.03349946,114057.17,1.01248,1.48,0,90.6,-37.48,0,0,0,0,1.48,1.48,90.6,53.12,0,0,0
2025-09-15T08:50:31+00:00,mint,25663201,0,0,0,0,45.852323,0.00039235,3783.374803,-0.03349946,114057.17,1.01248,0,0,90.6,-37.48,0,0,0,0,0,0,90.6,53.12,897.51084,0.00950422,1981.54
2025-09-16T17:20:09+00:00,burn,25663201,0,0,1100.261379,-0.00950422,45.852323,0.00039235,4883.636182,-0.04300368,114057.17,1.01248,0,16.24,90.6,-21.24,0,0,0,0,0,16.24,90.6,69.36,0,0,0
2025-09-16T17:20:09+00:00,collect,25663201,6.101665,0.00004961,0,0,51.953988,0.00044196,4883.636182,-0.04300368,114057.17,1.01248,11.76,0,102.36,-21.24,0,0,0,0,11.76,11.76,102.36,81.12,0,0,0
2025-09-16T17:20:29+00:00,mint,25807648,0,0,0,0,51.953988,0.00044196,4883.636182,-0.04300368,114057.17,1.01248,0,0,102.36,-21.24,0,0,0,0,0,0,102.36,81.12,449.211271,0.01325144,1960.63
2025-09-16T18:40:09+00:00,burn,25807648,0,0,-449.211271,0.00385474,51.953988,0.00044196,4434.424911,-0.03914894,114057.17,1.01248,0,-9.55,102.36,-30.79,0,0,0,0,0,-9.55,102.36,71.57,0,0,0
2025-09-16T18:40:09+00:00,collect,25807648,0.707238,0.00000695,0,0,52.661226,0.00044891,4434.424911,-0.03914894,114057.17,1.01248,1.5,0,103.86,-30.79,0,0,0,0,1.5,1.5,103.86,73.07,0,0,0
2025-09-16T18:40:29+00:00,mint,25815112,0,0,0,0,52.661226,0.00044891,4434.424911,-0.03914894,114057.17,1.01248,0,0,103.86,-30.79,0,0,0,0,0,0,103.86,73.07,986.909739,0.00870351,1979.61
2025-09-17T18:50:09+00:00,burn,25815112,0,0,-986.909739,0.0085214,52.661226,0.00044891,3447.515172,-0.03062754,114057.17,1.01248,0,-14.98,103.86,-45.78,0,0,0,0,0,-14.98,103.86,58.09,0,0,0
2025-09-17T18:50:09+00:00,collect,25815112,4.987207,0.0000455,0,0,57.648433,0.00049441,3447.515172,-0.03062754,114057.17,1.01248,10.18,0,114.04,-45.78,0,0,0,0,10.18,10.18,114.04,68.26,0,0,0
2025-09-17T19:00:23+00:00,mint,25921935,0,0,0,0,57.648433,0.00049441,3447.515172,-0.03062754,114057.17,1.01248,0,0,114.04,-45.78,0,0,0,0,0,0,114.04,68.26,918.285826,0.0087074,1911.43
2025-09-17T23:00:09+00:00,burn,25921935,0,0,1008.29323,-0.0087074,57.648433,0.00049441,4455.808402,-0.03933494,114057.17,1.01248,0,15.15,114.04,-30.62,0,0,0,0,0,15.15,114.04,83.42,0,0,0
2025-09-17T23:00:09+00:00,collect,25921935,1.389686,0.00000893,0,0,59.038119,0.00050334,4455.808402,-0.03933494,114057.17,1.01248,2.41,0,116.45,-30.62,0,0,0,0,2.41,2.41,116.45,85.82,0,0,0
2025-09-17T23:00:31+00:00,mint,25945019,0,0,0,0,59.038119,0.00050334,4455.808402,-0.03933494,114057.17,1.01248,0,0,116.45,-30.62,0,0,0,0,0,0,116.45,85.82,451.1453,0.00911971,1491.31
2025-09-18T00:10:07+00:00,burn,25945019,0,0,-431.893187,0.00370456,59.038119,0.00050334,4023.915215,-0.03563038,114057.17,1.01248,0,-9.36,116.45,-39.99,0,0,0,0,0,-9.36,116.45,76.46,0,0,0
2025-09-18T00:10:07+00:00,collect,25945019,0.278156,0.00000316,0,0,59.316275,0.0005065,4023.915215,-0.03563038,114057.17,1.01248,0.6386,0,117.09,-39.99,0,0,0,0,0.6386,0.6386,117.09,77.1,0,0,0
2025-09-18T00:10:31+00:00,mint,25951732,0,0,0,0,59.316275,0.0005065,4023.915215,-0.03563038,114057.17,1.01248,0,0,117.09,-39.99,0,0,0,0,0,0,117.09,77.1,980.410068,0.00848158,1947.8
2025-09-18T03:20:09+00:00,burn,25951732,0,0,992.216181,-0.00848158,59.316275,0.0005065,5016.131396,-0.04411196,114057.17,1.01248,0,24.83,117.09,-15.15,0,0,0,0,0,24.83,117.09,101.93,0,0,0
2025-09-18T03:20:09+00:00,collect,25951732,0.823782,0.00000422,0,0,60.140057,0.00051072,5016.131396,-0.04411196,114057.17,1.01248,1.31,0,118.39,-15.15,0,0,0,0,1.31,1.31,118.39,103.24,0,0,0
2025-09-18T03:20:29+00:00,mint,25968345,0,0,0,0,60.140057,0.00051072,5016.131396,-0.04411196,114057.17,1.01248,0,0,118.39,-15.15,0,0,0,0,0,0,118.39,103.24,1111.248194,0.00746859,1963.09
2025-09-19T11:50:09+00:00,burn,25968345,0,0,-1111.248194,0.00949335,60.140057,0.00051072,3904.883202,-0.03461861,114057.17,1.01248,0,-28.46,118.39,-43.62,0,0,0,0,0,-28.46,118.39,74.77,0,0,0
2025-09-19T11:50:09+00:00,collect,25968345,3.872705,0.00003582,0,0,64.012762,0.00054654,3904.883202,-0.03461861,114057.17,1.01248,7.96,0,126.35,-43.62,0,0,0,0,7.96,7.96,126.35,82.73,0,0,0
2025-09-19T11:50:29+00:00,mint,26118583,0,0,0,0,64.012762,0.00054654,3904.883202,-0.03461861,114057.17,1.01248,0,0,126.35,-43.62,0,0,0,0,0,0,126.35,82.73,990.065852,0.00867867,1979.93
2025-09-19T19:50:09+00:00,burn,26118583,0,0,-988.269215,0.00853294,64.012762,0.00054654,2916.613987,-0.02608567,114057.17,1.01248,0,-15.03,126.35,-58.64,0,0,0,0,0,-15.03,126.35,67.71,0,0,0
2025-09-19T19:50:09+00:00,collect,26118583,1.049454,0.00001166,0,0,65.062216,0.0005582,2916.613987,-0.02608567,114057.17,1.01248,2.38,0,128.73,-58.64,0,0,0,0,2.38,2.38,128.73,70.09,0,0,0
2025-09-19T19:50:31+00:00,mint,26157272,0,0,0,0,65.062216,0.0005582,2916.613987,-0.02608567,114057.17,1.01248,0,0,128.73,-58.64,0,0,0,0,0,0,128.73,70.09,1001.313903,0.00866195,1989.27
2025-09-22T06:56:53+00:00,burn,26157272,0,0,-1001.313903,0.00873203,65.062216,0.0005582,1915.300084,-0.01735364,114057.17,1.01248,0,-5.36,128.73,-64.01,0,0,0,0,0,-5.36,128.73,64.72,0,0,0
2025-09-22T06:56:53+00:00,collect,26157272,3.469428,0.00003276,0,0,68.531644,0.00059096,1915.300084,-0.01735364,114057.17,1.01248,7.21,0,135.93,-64.01,0,0,0,0,7.21,7.21,135.93,71.93,0,0,0
2025-09-22T06:57:15+00:00,mint,26353885,0,0,0,0,68.531644,0.00059096,1915.300084,-0.01735364,114057.17,1.01248,0,0,135.93,-64.01,0,0,0,0,0,0,135.93,71.93,0,0.01749444,1995.37
2025-09-22T07:00:09+00:00,burn,26353885,0,0,0,-0.00000001,68.531644,0.00059096,1915.300084,-0.01735365,114057.17,1.01248,0,-0.001141,135.93,-64.01,0,0,0,0,0,-0.001141,135.93,71.93,0,0,0
2025-09-22T07:00:09+00:00,collect,26353885,0,0,0,0,68.531644,0.00059096,1915.300084,-0.01735365,114057.17,1.01248,0,0,135.93,-64.01,0,0,0,0,0,0,135.93,71.93,0,0,0
2025-09-22T07:00:37+00:00,mint,26354296,0,0,0,0,68.531644,0.00059096,1915.300084,-0.01735365,114057.17,1.01248,0,0,135.93,-64.01,0,0,0,0,0,0,135.93,71.93,835.144275,0.01031388,2011.52
2025-09-23T03:10:09+00:00,burn,26354296,0,0,-835.144275,0.00743622,68.531644,0.00059096,1080.155809,-0.00991743,114057.17,1.01248,0,13.01,135.93,-51,0,0,0,0,0,13.01,135.93,84.94,0,0,0
2025-09-23T03:10:09+00:00,collect,26354296,4.626635,0.00004282,0,0,73.158279,0.00063378,1080.155809,-0.00991743,114057.17,1.01248,9.51,0,145.45,-51,0,0,0,0,9.51,9.51,145.45,94.45,0,0,0
2025-09-23T03:10:31+00:00,mint,26454759,0,0,0,0,73.158279,0.00063378,1080.155809,-0.00991743,114057.17,1.01248,0,0,145.45,-51,0,0,0,0,0,0,145.45,94.45,877.631013,0.0100444,2023.27
2025-09-23T06:30:09+00:00,burn,26454759,0,0,1128.298999,-0.0100444,73.158279,0.00063378,2208.454808,-0.01996183,114057.17,1.01248,0,-17.34,145.45,-68.34,0,0,0,0,0,-17.34,145.45,77.11,0,0,0
2025-09-23T06:30:09+00:00,collect,26454759,0.976697,0.00000535,0,0,74.134976,0.00063913,2208.454808,-0.01996183,114057.17,1.01248,1.59,0,147.03,-68.34,0,0,0,0,1.59,1.59,147.03,78.7,0,0,0
